"Order could not be invoiced.","Order could not be invoiced."
"Order could not be canceled.","Order could not be canceled."
"An error occurred while processing your payment.","An error occurred while processing your payment."
"Go Cuotas Payment canceled by Customer","Go Cuotas Payment canceled by Customer"
"We are waiting for the response from Go Cuotas.","We are waiting for the response from Go Cuotas."
"Quote cannot be restored.","Quote cannot be restored."
"Quote cannot be restored. Order not found.","Quote cannot be restored. Order not found."
"The requested transaction does not exist","The requested transaction does not exist"
"The requested order does not exist","The requested order does not exist"
"Webhook invalid token","Webhook invalid token"
"The order was not paid with Go Cuotas","The order was not paid with Go Cuotas"
"The status of the order does not allow it to be updated","The status of the order does not allow it to be updated"
"Modal","Modal"
"Redirect","Redirect"
"Production","Production"
"Sandbox","Sandbox"
"An error occurred while validating/generating token","An error occurred while validating/generating token"
"An error occurred while creating Payment","An error occurred while creating Payment"
"GoCuotas","GoCuotas"
"<b>Go Cuotas Payment Information</b>","<b>Go Cuotas Payment Information</b>"
"Payment ID: <b>%1</b><br>","Payment ID: <b>%1</b><br>"
"Installments: <b>%1</b><br>","Installments: <b>%1</b><br>"
"<b>Payment Canceled by Customer</b><br>","<b>Payment Canceled by Customer</b><br>"
"Payment External Reference: <b>#%1</b><br>","Payment External Reference: <b>#%1</b><br>"
"Payment Method: <b>%1</b><br>","Payment Method: <b>%1</b><br>"
"Payment Status: <b>%1</b><br>","Payment Status: <b>%1</b><br>"
"Unknown Payment Information","Unknown Payment Information"
"Could not save the transaction: %1","Could not save the transaction: %1"
"Token with id ""%1"" does not exist.","Token with id ""%1"" does not exist."
"Could not delete Token: %1","Could not delete Token: %1"
"Transaction with id ""%1"" does not exist.","Transaction with id ""%1"" does not exist."
"Transaction with External Reference ""%1"" does not exist.","Transaction with External Reference ""%1"" does not exist."
"Could not delete the Transaction: %1","Could not delete the Transaction: %1"
"Transaction rejected.","Transaction rejected."
"Your order number is: ","Your order number is: "
"There was an error processing your payment. Don't worry, no charge was made to your card.","There was an error processing your payment. Don't worry, no charge was made to your card."
"Retry payment","Retry payment"
"Order #","Order #"
"Click <a href=""%1"">here</a> to continue shopping.","Click <a href=""%1"">here</a> to continue shopping."
"Your payment was processed successfully","Your payment was processed successfully"
"Go Cuotas","Go Cuotas"
"Continue","Continue"
"Cancel Payment","Cancel Payment"
"Go Cuotas (by <a href="https://www.magerocket.com/" target="_blank" rel="noopener noreferrer">MageRocket</a>)","Go Cuotas (by <a href="https://www.magerocket.com/" target="_blank" rel="noopener noreferrer">MageRocket</a>)"
"Enable","Enable"
"Integration Mode","Integration Mode"
"Payment Title","Payment Title"
"Payment Description","Payment Description"
"Payment Method","Payment Method"
"Allows you to determine the way to make the payment: Redirect / Modal","Allows you to determine the way to make the payment: Redirect / Modal"
"Debug Mode","Debug Mode"
"Allows extended logs","Allows extended logs"
"Production Credentials","Production Credentials"
"Email","Email"
"Password","Password"
"Secret","Secret"
"Checkout Configuration","Checkout Configuration"
"Modal Instructions","Modal Instructions"
"Message with instructions once the payment method has been selected.","Message with instructions once the payment method has been selected."
"Redirect Instructions","Redirect Instructions"
"Show Banner in Checkout","Show Banner in Checkout"
"Enables displaying or hiding the banner shown alongside the Payment Method","Enables displaying or hiding the banner shown alongside the Payment Method"
"Checkout Banner","Checkout Banner"
"The order was not successful!","The order was not successful!"
"You will be redirected to Go Cuotas site to complete the payment","You will be redirected to Go Cuotas site to complete the payment"
"Go Cuotas: Order canceled. Payment expiration time (%1 minutes)", "Go Cuotas: Order canceled. Payment expiration time (%1 minutes)"
"Widget Installments", "Widget Installments"
"Add a Widget below the Add to Cart button with the price of the product in X interest-free installments","Add a Widget below the Add to Cart button with the price of the product in X interest-free installments"
"Applies only on the Product Page (PDP)","Applies only on the Product Page (PDP)"
"Widgets Configuration","Widgets Configuration"
